SR NO,DIVISION,SUB DIVISION,SS NAME,FEEDER,CAT,TND CODE,TOTAL CONSUMER,TOTAL TC, FULLY ON,PARTIALLY ON,FULLY OFF,,,,,
93,Lalbagh,Tarsali,MAKARPURA-B,NILKANTH(TARSALI),URBAN,143414,2998,40,FALSE,FALSE,FALSE,,,,,
94,Lalbagh,Tarsali,MAKARPURA-B,NITYANAND URBAN,URBAN,143417,2476,30,FALSE,FALSE,FALSE,,,,,
95,Lalbagh,Wadi,GAJRAWADI,CHANDAN (DABHOI RD),URBAN,104501,6245,61,FALSE,FALSE,FALSE,,,,,
96,Lalbagh,Wadi,GAJRAWADI,RANMUKTESHWER,URBAN,104502,3223,28,FALSE,FALSE,FALSE,,,,,
97,Lalbagh,Wadi,GAJRAWADI,WADI,URBAN,104504,1386,34,FALSE,FALSE,FALSE,,,,,
98,Lalbagh,Wadi,GAJRAWADI,BHAVANIKUNJ,URBAN,104506,4785,29,FALSE,FALSE,FALSE,,,,,
99,Lalbagh,Wadi,GAJRAWADI,JAHANGIRPURA,URBAN,104508,5639,23,FALSE,FALSE,FALSE,,,,,
100,Lalbagh,Wadi,GAJRAWADI,KAPURAI,URBAN,104510,5321,104,FALSE,FALSE,FALSE,,,,,
101,Lalbagh,Wadi,GAJRAWADI,GANESH NAGAR,URBAN,104513,4799,86,FALSE,FALSE,FALSE,,,,,
102,Lalbagh,Wadi,GAJRAWADI,RAMCHOCK,URBAN,104516,4553,11,FALSE,FALSE,FALSE,,,,,
103,Lalbagh,Wadi,WAGHODIAROAD,SUVARNBHUMI,URBAN,143309,5804,74,FALSE,FALSE,FALSE,,,,,
104,Lalbagh,Wadi,WAGHODIAROAD,KANHA,URBAN,143313,1482,23,FALSE,FALSE,FALSE,,,,,
105,Vishwamitri-East,Dandia Bazar,NAVLAKHI R|S,MARKET,URBAN,32401,4023,16,FALSE,FALSE,FALSE,,,,,
106,Vishwamitri-East,Dandia Bazar,NAVLAKHI R|S,DHARMSHALA,URBAN,32402,177,3,FALSE,FALSE,FALSE,,,,,
107,Vishwamitri-East,Dandia Bazar,NAVLAKHI R|S,CENTRAL JAIL,URBAN,32403,446,15,FALSE,FALSE,FALSE,,,,,
108,Vishwamitri-East,Dandia Bazar,NAVLAKHI R|S,SSG,URBAN,32404,418,12,FALSE,FALSE,FALSE,,,,,
109,Vishwamitri-East,Dandia Bazar,NAVLAKHI R|S,GROUND,URBAN,32405,14,5,FALSE,FALSE,FALSE,,,,,
110,Vishwamitri-East,Dandia Bazar,NAVLAKHI R|S,POLICE BHAVAN,URBAN,32412,23,4,FALSE,FALSE,FALSE,,,,,
111,Vishwamitri-East,Dandia Bazar,NAVLAKHI R|S,GAS OFFICE,URBAN,32415,1307,5,FALSE,FALSE,FALSE,,,,,
112,Vishwamitri-East,Dandia Bazar,NAVLAKHI R|S,NAVLAKHI SST,SST,32499,11,1,FALSE,FALSE,FALSE,,,,,
113,Vishwamitri-East,Dandia Bazar,MOTIBAG,NAVRANG,URBAN,104401,3201,31,FALSE,FALSE,FALSE,,,,,
